date,open,high,low,close,volume
2025-04-18,1.98,2.02,1.98,2.02,132597415
2025-04-21,1.98,1.99,1.94,1.98,168590064
2025-04-22,1.98,2.02,1.97,1.97,159822325
2025-04-23,1.99,1.99,1.96,1.96,122525949
2025-04-24,1.97,1.97,1.93,1.94,143820764
2025-04-25,1.94,1.97,1.93,1.95,130763963
2025-04-28,1.95,1.96,1.92,1.94,117701491
2025-04-29,1.93,1.94,1.91,1.92,109587328
2025-04-30,1.93,1.98,1.93,1.96,159578961
2025-05-06,1.97,1.99,1.96,1.99,134769543
2025-05-07,2.0,2.02,1.97,1.99,127312176
2025-05-08,1.98,2.03,1.97,2.02,207498385
2025-05-09,2.01,2.02,1.97,1.98,147136740
2025-05-12,1.99,1.99,1.96,1.98,104540724
2025-05-13,2.0,2.01,1.98,1.98,132286701
2025-05-14,1.98,2.0,1.96,1.99,142492552
2025-05-15,1.99,2.0,1.96,1.96,101763989
2025-05-16,1.96,1.98,1.96,1.97,75723681
2025-05-19,1.97,1.99,1.96,1.98,103891646
2025-05-20,1.99,2.02,1.98,2.01,195223667
2025-05-21,2.0,2.01,1.99,1.99,99453025
2025-05-22,1.99,2.0,1.96,1.97,131216907
2025-05-23,1.97,2.0,1.96,1.96,137722058
2025-05-26,1.96,1.96,1.94,1.96,115349682
2025-05-27,1.96,1.97,1.95,1.97,87891665
2025-05-28,1.96,1.97,1.94,1.95,100107404
2025-05-29,1.95,1.98,1.94,1.97,134334534
2025-05-30,1.97,1.98,1.95,1.97,98622233
2025-06-03,1.95,1.98,1.95,1.95,164394394
2025-06-04,1.96,1.97,1.95,1.96,160393947
2025-06-05,1.96,1.96,1.93,1.95,173022241
2025-06-06,1.94,1.96,1.94,1.95,133189941
2025-06-09,1.95,2.0,1.94,1.98,303769015
2025-06-10,1.98,2.0,1.94,1.95,235592812
2025-06-11,1.95,1.98,1.95,1.96,136164623
2025-06-12,1.96,1.97,1.95,1.95,97215258
2025-06-13,1.96,1.96,1.93,1.93,181127191
2025-06-16,1.93,1.94,1.92,1.93,120356054
2025-06-17,1.93,1.95,1.92,1.93,119859553
2025-06-18,1.93,1.93,1.91,1.91,104322671
2025-06-19,1.91,1.92,1.88,1.88,166136065
2025-06-20,1.88,1.89,1.87,1.88,106574819
2025-06-23,1.87,1.89,1.86,1.88,107132002
2025-06-24,1.88,1.91,1.88,1.91,136605953
2025-06-25,1.91,1.92,1.89,1.91,156461717
2025-06-26,1.91,1.93,1.9,1.9,170055275
2025-06-27,1.9,1.92,1.9,1.9,107987541
2025-06-30,1.9,1.91,1.89,1.89,123897112
2025-07-01,1.89,1.91,1.88,1.9,152247177
2025-07-02,1.9,1.91,1.89,1.9,124871322
2025-07-03,1.9,1.92,1.9,1.9,154281953
2025-07-04,1.91,1.92,1.89,1.9,153305213
2025-07-07,1.9,1.92,1.9,1.91,128103848
2025-07-08,1.91,1.92,1.9,1.92,135057901
2025-07-09,1.92,2.11,1.91,2.11,1013793739
2025-07-10,2.1,2.14,2.07,2.08,818836911
2025-07-11,2.07,2.09,2.04,2.06,464524880
2025-07-14,2.06,2.15,2.05,2.07,381666747
2025-07-15,2.08,2.12,2.05,2.05,322978542
2025-07-16,2.06,2.1,2.04,2.07,345457549
2025-07-17,2.07,2.1,2.07,2.1,284686556
2025-07-18,2.1,2.11,2.07,2.08,186174365
2025-07-21,2.08,2.13,2.07,2.1,288569432
2025-07-22,2.09,2.1,2.07,2.09,216054978
2025-07-23,2.08,2.12,2.07,2.08,290462944
2025-07-24,2.08,2.22,2.08,2.16,679006428
2025-07-25,2.15,2.19,2.13,2.14,360483862
2025-07-28,2.14,2.16,2.11,2.12,251619878
2025-07-29,2.11,2.13,2.08,2.1,250459329
2025-07-30,2.1,2.14,2.08,2.11,254508465
2025-07-31,2.1,2.11,2.06,2.07,227497259
2025-08-01,2.07,2.13,2.06,2.11,320101778
2025-08-04,2.1,2.11,2.05,2.09,262754575
2025-08-05,2.08,2.12,2.07,2.09,213514679
