date,open,high,low,close,volume
2026-01-27,21.18,21.6,20.73,21.14,2828400
2026-01-28,21.13,21.15,20.6,20.78,2071472
2026-01-29,20.8,20.99,20.26,20.36,2476456
2026-01-30,20.4,20.69,20.14,20.5,1891500
2026-02-02,20.6,20.84,20.36,20.36,2205930
2026-02-03,20.52,20.69,20.22,20.65,2090501
2026-02-04,20.58,20.77,20.25,20.37,2119200
2026-02-05,20.37,20.77,20.31,20.49,1857901
2026-02-06,20.48,20.62,20.2,20.44,1398944
2026-02-09,20.65,20.72,20.49,20.68,1387900
2026-02-10,20.68,20.74,20.5,20.66,1209000
2026-02-11,20.69,20.7,20.3,20.33,1167100
2026-02-12,20.38,20.49,19.9,20.13,1669924
2026-02-13,20.08,20.65,20.08,20.5,2231157
2026-02-24,20.6,21.33,20.5,21.11,5193300
2026-02-25,21.2,21.4,21.01,21.09,3030205
2026-02-26,21.1,21.26,21.01,21.12,1842178
2026-02-27,20.97,21.18,20.63,20.83,2097899
2026-03-02,20.59,20.81,19.93,19.98,3882400
2026-03-03,19.88,20.08,19.05,19.17,3922100
2026-03-04,18.96,19.3,18.8,18.95,2673100
2026-03-05,19.27,19.53,19.15,19.3,1857294
2026-03-06,19.43,19.88,19.34,19.79,2051095
2026-03-09,19.7,19.74,19.0,19.28,2701101
2026-03-10,19.42,19.84,19.42,19.79,1747910
2026-03-11,19.94,19.95,19.32,19.33,2074400
2026-03-12,19.33,19.36,19.0,19.09,1933000
2026-03-13,18.95,19.36,18.92,19.0,1474700
2026-03-16,18.9,19.47,18.87,19.08,1925600
2026-03-17,19.16,19.16,18.7,18.73,1373900
2026-03-18,18.73,19.18,18.68,19.15,1495000
2026-03-19,18.96,19.1,18.52,18.57,1463524
2026-03-20,18.57,18.77,18.01,18.06,1846882
2026-03-23,17.95,17.95,16.7,16.83,2573240
2026-03-24,17.28,18.0,17.05,17.96,2676138
2026-03-25,18.08,18.44,17.9,18.42,2006499
2026-03-26,18.47,18.75,18.01,18.12,1612832
2026-03-27,18.12,18.41,17.9,18.31,1489705
2026-03-30,18.02,18.44,18.02,18.42,1634866
2026-03-31,18.56,18.68,18.11,18.21,1641328
2026-04-01,18.55,18.66,18.18,18.38,1464704
2026-04-02,18.16,18.46,17.78,17.99,1381595
2026-04-03,17.99,18.1,17.37,17.43,1363851
2026-04-07,17.38,17.91,17.34,17.78,1594794
2026-04-08,18.18,18.49,18.05,18.29,1523400
2026-04-09,18.4,18.4,17.9,18.0,1541300
2026-04-10,18.19,18.4,17.95,18.24,1348594
2026-04-13,18.3,18.31,17.94,18.24,1729784
2026-04-14,18.33,18.33,17.98,18.18,1622484
2026-04-15,18.27,18.27,17.93,17.99,1063784
2026-04-16,17.98,18.28,17.84,18.2,1250400
2026-04-17,18.19,18.37,18.04,18.21,1308100
2026-04-20,18.18,18.34,18.0,18.23,1581500
2026-04-21,18.12,18.3,18.1,18.21,1179701
2026-04-22,18.2,18.2,17.95,18.1,1458000
2026-04-23,18.15,18.15,17.77,17.83,1712600
2026-04-24,18.02,18.03,17.53,17.89,1599256
2026-04-27,18.71,19.6,18.48,19.0,8292303
2026-04-28,18.99,19.8,18.85,19.11,6146942
2026-04-29,18.9,19.14,18.68,19.07,3849632
