date,open,high,low,close,volume
2025-04-18,7.0,7.03,6.77,6.77,39796846
2025-04-21,6.75,6.87,6.75,6.81,24860000
2025-04-22,6.8,6.95,6.77,6.92,30829200
2025-04-23,6.87,6.91,6.76,6.78,29286754
2025-04-24,6.77,6.77,6.65,6.66,24347101
2025-04-25,6.68,6.71,6.63,6.65,16686099
2025-04-28,6.64,6.65,6.53,6.54,16075500
2025-04-29,6.6,6.69,6.6,6.65,18569171
2025-04-30,6.66,6.71,6.64,6.69,17779007
2025-05-06,6.7,6.74,6.68,6.74,21483101
2025-05-07,6.75,7.41,6.74,7.18,93875091
2025-05-08,6.97,7.12,6.93,7.1,65147409
2025-05-09,7.09,7.18,6.99,7.01,48419120
2025-05-12,6.9,6.99,6.89,6.92,34408700
2025-05-13,6.92,6.93,6.83,6.87,24029584
2025-05-14,6.87,6.96,6.83,6.91,24978000
2025-05-15,6.88,7.02,6.87,6.96,30541400
2025-05-16,6.91,6.93,6.81,6.86,19857611
2025-05-19,6.83,6.96,6.83,6.93,17316800
2025-05-20,6.9,7.01,6.89,6.96,18492209
2025-05-21,6.96,7.04,6.9,6.91,18334396
2025-05-22,6.91,6.94,6.8,6.81,15801000
2025-05-23,6.81,6.84,6.72,6.72,14426375
2025-05-26,6.72,6.77,6.68,6.77,11811401
2025-05-27,6.76,6.85,6.75,6.84,12968701
2025-05-28,6.82,6.86,6.75,6.76,9233200
2025-05-29,6.77,6.81,6.7,6.76,11608715
2025-05-30,6.77,6.82,6.73,6.73,12416900
2025-06-03,6.7,6.78,6.66,6.78,10275551
2025-06-04,6.75,6.84,6.72,6.81,12215157
2025-06-05,6.8,6.81,6.71,6.73,15559108
2025-06-06,6.73,6.85,6.71,6.77,18498000
2025-06-09,6.73,6.82,6.72,6.8,15424800
2025-06-10,6.8,6.98,6.68,6.88,47108164
2025-06-11,6.81,6.88,6.79,6.83,26304252
2025-06-12,6.82,6.83,6.71,6.75,21406400
2025-06-13,6.76,6.97,6.76,6.91,50434301
2025-06-16,6.89,7.0,6.84,6.9,33460400
2025-06-17,6.89,7.04,6.86,6.95,37730620
2025-06-18,6.97,6.99,6.87,6.91,27794197
2025-06-19,6.87,6.9,6.7,6.75,27744858
2025-06-20,6.74,6.82,6.71,6.73,15546800
2025-06-23,6.75,7.06,6.73,6.95,35126503
2025-06-24,6.9,6.92,6.83,6.9,26903084
2025-06-25,6.88,6.93,6.84,6.93,22785908
2025-06-26,6.91,6.94,6.88,6.91,19305817
2025-06-27,6.91,6.94,6.88,6.9,15556208
2025-06-30,6.88,6.89,6.8,6.87,23578501
2025-07-01,6.85,6.92,6.84,6.89,14277650
2025-07-02,6.89,6.93,6.85,6.9,16652601
2025-07-03,6.92,6.97,6.9,6.97,26894702
2025-07-04,6.98,7.02,6.93,6.98,28958705
2025-07-07,6.97,7.04,6.92,7.02,25476081
2025-07-08,7.02,7.02,6.95,7.0,18519601
2025-07-09,6.98,7.01,6.93,6.94,19377171
2025-07-10,6.94,6.97,6.91,6.96,16323852
2025-07-11,6.95,6.99,6.93,6.97,17579571
2025-07-14,6.99,7.03,6.96,6.97,20930564
2025-07-15,6.96,6.96,6.8,6.85,24159229
2025-07-16,6.84,6.91,6.82,6.9,14010063
2025-07-17,6.9,6.96,6.87,6.92,17569703
2025-07-18,6.92,6.99,6.89,6.95,17161900
2025-07-21,6.95,7.03,6.92,7.02,28251782
2025-07-22,7.02,7.03,6.91,7.02,22716311
2025-07-23,7.01,7.08,6.94,6.95,21512481
2025-07-24,6.95,7.44,6.92,7.19,82655039
2025-07-25,7.12,7.14,7.02,7.04,54424644
2025-07-28,7.04,7.07,6.98,6.99,29897575
2025-07-29,7.03,7.05,6.92,6.99,23338165
2025-07-30,6.96,7.17,6.95,7.09,44290201
2025-07-31,7.1,7.11,6.96,6.98,27190600
2025-08-01,6.97,7.0,6.91,6.95,19473015
2025-08-04,6.91,6.95,6.88,6.94,12103901
2025-08-05,6.96,6.98,6.94,6.96,13543000
2025-08-06,6.95,6.97,6.91,6.96,12712957
2025-08-07,6.95,7.04,6.93,7.02,23518849
2025-08-08,6.99,7.02,6.96,6.99,13719904
2025-08-11,7.01,7.01,6.96,7.01,13115268
2025-08-12,7.0,7.08,6.98,7.05,25089390
2025-08-13,7.08,7.09,6.99,7.03,18422577
2025-08-14,7.03,7.04,6.93,6.93,17327421
2025-08-15,6.91,6.97,6.91,6.96,13307392
2025-08-18,6.96,7.01,6.95,6.99,17134716
2025-08-19,7.01,7.04,6.96,6.98,21703815
2025-08-20,6.96,7.04,6.95,7.04,22149207
2025-08-21,7.05,7.08,7.01,7.05,24514761
2025-08-22,7.06,7.07,7.0,7.06,20058833
2025-08-25,7.06,7.1,7.04,7.1,30153208
2025-08-26,7.11,7.15,7.08,7.13,28713779
2025-08-27,7.13,7.14,7.01,7.01,31341617
2025-08-28,7.01,7.05,6.87,6.99,25524610
2025-08-29,7.0,7.1,6.97,7.06,30549808
2025-09-01,7.04,7.04,6.97,7.02,17484901
2025-09-02,7.01,7.02,6.91,6.95,16827573
2025-09-03,6.95,6.96,6.83,6.85,16387695
2025-09-04,6.84,6.89,6.82,6.86,12466877
2025-09-05,6.84,6.9,6.82,6.9,10884951
2025-09-08,6.91,6.94,6.88,6.93,10804106
2025-09-09,6.91,6.93,6.85,6.88,12216800
2025-09-10,6.86,6.89,6.85,6.89,8093689
2025-09-11,6.88,6.92,6.87,6.91,11063601
2025-09-12,6.9,6.92,6.89,6.9,11362559
2025-09-15,6.94,6.99,6.91,6.98,16839883
2025-09-16,6.98,6.99,6.91,6.97,12114165
2025-09-17,6.95,6.96,6.92,6.95,9526977
2025-09-18,6.95,6.95,6.83,6.86,16608536
2025-09-19,6.85,6.87,6.81,6.85,9244595
2025-09-22,6.85,6.85,6.75,6.78,11555501
2025-09-23,6.76,6.78,6.57,6.66,13389671
2025-09-24,6.63,6.72,6.63,6.7,7593101
2025-09-25,6.69,6.7,6.64,6.66,7214771
2025-09-26,6.64,6.7,6.63,6.66,5863893
2025-09-29,6.65,6.66,6.58,6.64,8777002
2025-09-30,6.64,6.66,6.61,6.65,5951631
2025-10-09,6.66,6.75,6.63,6.73,9939158
2025-10-10,6.72,6.79,6.68,6.79,11311215
2025-10-13,6.8,6.9,6.79,6.85,21071294
2025-10-14,6.8,6.89,6.77,6.86,18187420
2025-10-15,6.82,6.86,6.8,6.81,13109223
2025-10-16,6.8,6.81,6.76,6.78,8725000
2025-10-17,6.78,6.84,6.74,6.74,12359701
2025-10-20,6.74,6.76,6.71,6.75,7795962
2025-10-21,6.75,6.79,6.72,6.79,8544305
2025-10-22,6.78,6.94,6.75,6.84,17211474
2025-10-23,6.8,6.89,6.8,6.87,12141902
2025-10-24,6.87,6.88,6.82,6.83,10285900
2025-10-27,6.83,6.89,6.78,6.87,13159500
2025-10-28,6.86,6.9,6.83,6.84,9084014
2025-10-29,6.87,6.87,6.81,6.85,9794100
2025-10-30,6.84,6.84,6.78,6.79,10479376
2025-10-31,6.78,6.82,6.76,6.77,9888417
2025-11-03,6.77,6.81,6.76,6.81,7118717
2025-11-04,6.81,6.84,6.78,6.83,9323800
2025-11-05,6.8,6.87,6.78,6.85,12497738
2025-11-06,6.85,6.85,6.79,6.8,10850900
2025-11-07,6.81,6.86,6.79,6.84,13088215
2025-11-10,6.85,6.88,6.81,6.87,14319841
2025-11-11,6.88,6.99,6.84,6.95,26393198
2025-11-12,6.95,6.98,6.91,6.93,16279773
2025-11-13,6.93,6.96,6.89,6.94,14137501
2025-11-14,6.94,7.0,6.92,6.94,14852300
2025-11-17,6.99,7.09,6.98,7.04,30644202
2025-11-18,7.0,7.06,6.93,6.99,18978631
2025-11-19,7.0,7.22,6.91,7.08,36378878
2025-11-20,7.08,7.09,6.93,7.01,29125937
2025-11-21,6.95,7.34,6.95,7.09,82104357
2025-11-24,7.0,7.34,7.0,7.23,67699059
2025-11-25,7.15,7.2,7.02,7.14,51715673
2025-11-26,7.14,7.15,6.91,6.94,43786200
2025-11-27,6.93,6.93,6.77,6.79,32987600
2025-11-28,6.77,6.86,6.71,6.86,24044991
2025-12-01,6.8,6.98,6.79,6.9,23639700
2025-12-02,6.88,7.33,6.81,7.2,65902932
2025-12-03,7.2,7.24,7.09,7.12,35169850
2025-12-04,7.1,7.18,6.96,6.98,25079147
2025-12-05,6.95,7.11,6.93,7.11,22798599
