date,open,high,low,close,volume
2025-04-18,4.04,4.1,3.98,4.04,8110644
2025-04-21,4.06,4.44,4.0,4.44,8772438
2025-04-22,4.5,4.58,4.34,4.37,32790860
2025-04-23,4.34,4.39,4.18,4.2,22488096
2025-04-24,4.26,4.62,4.22,4.62,20273685
2025-04-25,4.53,4.55,4.34,4.38,45465512
2025-04-28,4.26,4.34,3.94,4.1,37832055
2025-04-29,4.1,4.4,4.08,4.29,32148000
2025-04-30,4.37,4.62,4.19,4.52,31339085
2025-05-06,4.55,4.74,4.55,4.65,23368957
2025-05-07,4.71,4.84,4.55,4.82,25167201
2025-05-08,4.81,5.09,4.78,4.98,28251170
2025-05-09,5.0,5.13,4.9,4.95,20037400
2025-05-12,4.93,5.08,4.87,5.05,21407621
2025-05-13,5.08,5.11,4.97,4.98,10101331
2025-05-14,4.97,5.04,4.9,4.91,10094300
2025-05-15,4.94,4.94,4.79,4.83,13048542
2025-05-16,4.83,4.92,4.8,4.87,8507528
2025-05-19,4.91,4.95,4.8,4.83,10048127
2025-05-20,4.85,4.95,4.83,4.92,10027570
2025-05-21,4.93,5.08,4.91,4.95,15250440
2025-05-22,4.94,4.94,4.82,4.84,8739500
2025-05-23,4.84,4.98,4.84,4.92,12578479
2025-05-26,4.95,4.99,4.85,4.93,10016500
2025-05-27,4.93,4.93,4.8,4.86,7311100
2025-05-28,4.88,4.88,4.78,4.78,6002218
2025-05-29,4.78,5.25,4.75,5.1,22351678
2025-05-30,5.12,5.25,4.98,5.05,20140684
2025-06-03,5.05,5.17,4.98,5.1,13677886
2025-06-04,5.11,5.16,5.04,5.12,9124534
2025-06-05,5.18,5.3,4.97,5.01,12610084
2025-06-06,5.01,5.38,5.01,5.23,25532924
2025-06-09,5.24,5.44,5.23,5.37,21116002
2025-06-10,5.38,5.42,5.17,5.2,16123988
2025-06-11,5.25,5.35,5.12,5.33,15616827
2025-06-12,5.3,5.55,5.27,5.39,20621084
2025-06-13,5.34,5.42,5.06,5.16,16294912
2025-06-16,5.15,5.21,5.08,5.19,8138939
2025-06-17,5.23,5.27,5.02,5.06,9787200
2025-06-18,5.11,5.12,4.87,4.94,10606064
2025-06-19,4.96,4.96,4.75,4.8,9756500
2025-06-20,4.8,4.88,4.69,4.85,13159300
2025-06-23,4.84,5.09,4.71,5.08,15637300
2025-06-24,5.06,5.24,5.05,5.18,12015088
2025-06-25,5.2,5.22,5.0,5.18,11338310
2025-06-26,5.18,5.2,5.02,5.02,11092677
2025-06-27,5.0,5.06,4.88,4.91,11456025
2025-06-30,4.95,5.4,4.93,5.4,24369156
2025-07-01,5.41,5.94,5.35,5.78,87452166
2025-07-02,5.6,5.77,5.46,5.53,54640508
2025-07-03,5.51,5.74,5.44,5.65,34693500
2025-07-04,5.6,5.74,5.5,5.63,25104597
2025-07-07,5.66,5.83,5.6,5.68,29644078
2025-07-08,5.69,5.77,5.59,5.66,20886375
2025-07-09,5.66,5.7,5.51,5.67,17847265
2025-07-10,5.7,6.04,5.63,5.78,36479018
2025-07-11,5.79,5.95,5.67,5.92,32357411
2025-07-14,5.94,6.16,5.91,6.09,36368723
2025-07-15,6.02,6.06,5.62,5.78,39931623
2025-07-16,5.73,5.89,5.71,5.83,16957446
2025-07-17,5.83,6.0,5.81,5.94,18849643
2025-07-18,5.98,6.13,5.87,5.97,16620577
2025-07-21,5.95,6.34,5.9,6.23,40700518
2025-07-22,6.2,6.22,6.01,6.05,22856185
2025-07-23,6.0,6.14,5.96,5.99,17371944
2025-07-24,6.01,6.09,5.93,6.05,17720494
2025-07-25,6.08,6.17,5.96,5.96,16633800
2025-07-28,5.97,6.43,5.97,6.15,37896388
2025-07-29,6.22,6.74,6.01,6.51,48141883
2025-07-30,6.46,7.05,6.35,6.97,72827138
2025-07-31,6.71,6.86,6.27,6.27,79545228
2025-08-01,5.99,6.08,5.68,5.72,63445018
2025-08-04,5.68,5.79,5.5,5.7,40470399
2025-08-05,5.68,5.87,5.63,5.7,33797826
2025-08-06,5.68,5.76,5.52,5.54,31903649
2025-08-07,5.56,5.56,5.34,5.37,29309172
2025-08-08,5.39,5.42,5.31,5.39,18131100
2025-08-11,5.4,5.82,5.36,5.7,39145504
2025-08-12,5.72,6.17,5.72,6.05,66659389
2025-08-13,5.95,6.15,5.81,6.04,35078555
2025-08-14,5.97,6.07,5.65,5.65,34594600
2025-08-15,5.76,5.87,5.65,5.78,24785439
2025-08-18,5.78,5.86,5.65,5.7,28399049
2025-08-19,5.69,5.9,5.65,5.68,30289352
2025-08-20,5.65,5.7,5.53,5.7,20796164
2025-08-21,5.72,5.79,5.67,5.71,18061803
2025-08-22,5.71,5.72,5.61,5.69,14454556
2025-08-25,5.73,6.26,5.73,6.26,28182345
2025-08-26,6.35,6.43,6.21,6.29,67097609
2025-08-27,6.28,6.62,6.25,6.34,52062558
2025-08-28,6.34,6.39,6.03,6.24,30320353
2025-08-29,6.3,6.41,6.17,6.2,22007719
2025-09-01,6.25,6.25,6.03,6.15,28945815
2025-09-02,6.19,6.19,5.92,5.98,23334625
2025-09-03,5.98,6.1,5.8,5.83,17192336
2025-09-04,5.83,6.07,5.67,5.79,21442600
2025-09-05,5.78,6.03,5.66,6.0,19948059
2025-09-08,6.05,6.07,5.87,5.95,15573100
2025-09-09,5.95,5.95,5.76,5.8,14882188
2025-09-10,5.8,5.95,5.71,5.81,15523120
2025-09-11,5.78,5.87,5.67,5.85,15862622
2025-09-12,5.83,6.15,5.79,6.0,28100070
2025-09-15,6.0,6.02,5.83,5.91,15909432
2025-09-16,5.91,6.01,5.87,5.98,12237499
2025-09-17,5.98,5.99,5.82,5.85,14916608
2025-09-18,5.84,5.9,5.7,5.75,13995674
2025-09-19,5.77,5.83,5.67,5.8,11341267
2025-09-22,5.8,5.8,5.69,5.75,10412398
2025-09-23,5.72,5.73,5.46,5.59,12190847
2025-09-24,5.57,5.69,5.54,5.68,8987692
