date,open,high,low,close,volume
2026-01-27,6.71909637,6.76872042,6.61984827,6.72902118,19426952
2026-01-28,6.72902118,6.82826928,6.70917156,6.75879561,21941467
2026-01-29,6.75879561,6.78857004,6.71909637,6.73894599,21248099
2026-01-30,6.72902118,6.80841966,6.69924675,6.79849485,20731350
2026-02-02,6.78857004,6.78857004,6.54044979,6.57022422,30562686
2026-02-03,6.57022422,6.61984827,6.51067536,6.57022422,17436411
2026-02-04,6.57022422,6.75879561,6.5503746,6.75879561,24088930
2026-02-05,6.75879561,6.75879561,6.61984827,6.6496227,18656803
2026-02-06,6.62977308,6.67939713,6.59007384,6.59999865,13797413
2026-02-09,6.64,6.67,6.6,6.62,12122706
2026-02-10,6.61,6.63,6.57,6.59,8242300
2026-02-11,6.6,6.63,6.58,6.62,9222553
2026-02-12,6.64,6.65,6.57,6.62,10125223
2026-02-13,6.61,6.62,6.49,6.49,16968600
2026-02-24,6.54,6.74,6.52,6.69,25076456
2026-02-25,6.72,6.87,6.67,6.77,28799185
2026-02-26,6.78,6.85,6.75,6.84,21234819
2026-02-27,6.83,6.94,6.79,6.91,28781851
2026-03-02,6.9,6.96,6.84,6.91,30037207
2026-03-03,6.89,6.97,6.81,6.84,23269253
2026-03-04,6.78,6.89,6.76,6.81,21858343
2026-03-05,6.85,6.89,6.79,6.84,26331270
2026-03-06,6.8,6.91,6.8,6.89,19367929
2026-03-09,6.9,7.0,6.89,6.95,27389866
2026-03-10,6.97,6.98,6.85,6.95,22385834
2026-03-11,6.94,7.05,6.83,7.04,32357782
2026-03-12,7.05,7.14,7.01,7.12,34708578
2026-03-13,7.16,7.17,6.97,6.99,33821261
2026-03-16,6.96,7.02,6.86,6.9,24292286
2026-03-17,6.9,6.96,6.83,6.85,17318600
2026-03-18,6.85,6.92,6.79,6.88,26340971
2026-03-19,6.86,6.94,6.81,6.86,23566826
2026-03-20,6.86,7.02,6.81,6.91,37746955
2026-03-23,6.83,6.89,6.61,6.64,37545236
2026-03-24,6.74,7.02,6.67,7.01,48893399
2026-03-25,7.01,7.3,6.94,7.23,69532779
2026-03-26,7.2,7.27,7.06,7.2,51960202
2026-03-27,7.11,7.3,7.07,7.19,50329331
2026-03-30,7.11,7.14,6.8,6.88,45567267
2026-03-31,6.86,6.92,6.7,6.7,37789980
2026-04-01,6.8,6.88,6.7,6.81,28782169
2026-04-02,6.79,6.9,6.66,6.74,28222525
2026-04-03,6.74,6.74,6.43,6.43,35292800
2026-04-07,6.45,6.5,6.37,6.48,16979800
2026-04-08,6.54,6.6,6.5,6.58,32982734
2026-04-09,6.55,6.55,6.45,6.45,16875423
2026-04-10,6.49,6.52,6.43,6.49,13196262
2026-04-13,6.47,6.57,6.43,6.56,16082742
2026-04-14,6.56,6.63,6.52,6.55,11224300
2026-04-15,6.57,6.58,6.5,6.56,11207776
2026-04-16,6.58,6.61,6.54,6.59,11489587
2026-04-17,6.58,6.89,6.57,6.75,57109772
2026-04-20,6.75,6.8,6.6,6.63,36391285
2026-04-21,6.63,6.68,6.52,6.64,21375500
2026-04-22,6.6,6.72,6.59,6.65,20029160
2026-04-23,6.71,6.73,6.56,6.7,34540733
2026-04-24,6.65,6.67,6.58,6.59,24340500
2026-04-27,6.58,6.63,6.53,6.54,19719134
2026-04-28,6.52,6.56,6.42,6.55,27951226
2026-04-29,6.52,6.66,6.49,6.6,24063500
