date,open,high,low,close,volume
2025-04-11,3.06,3.12,3.06,3.06,17163800.0
2025-04-14,3.1,3.23,3.1,3.16,20592902.0
2025-04-15,3.22,3.45,3.2,3.28,36339500.0
2025-04-16,3.17,3.33,3.15,3.21,26111700.0
2025-04-17,3.18,3.26,3.14,3.19,14511600.0
2025-04-18,3.21,3.23,3.17,3.21,15597213.0
2025-04-21,3.2,3.29,3.17,3.27,13627800.0
2025-04-22,3.29,3.29,3.18,3.2,18286800.0
2025-04-23,3.23,3.24,3.16,3.2,15695300.0
2025-04-24,3.2,3.26,3.17,3.19,15078222.0
2025-04-25,3.2,3.21,3.11,3.12,13730100.0
2025-04-28,3.13,3.4,3.13,3.23,40926500.0
2025-04-29,3.11,3.23,3.11,3.15,23845115.0
2025-04-30,3.14,3.31,3.14,3.2,15020102.0
2025-05-06,3.26,3.33,3.22,3.33,20031043.0
2025-05-07,3.34,3.42,3.3,3.36,16058600.0
2025-05-08,3.36,3.55,3.3,3.44,29446300.0
2025-05-09,3.47,3.52,3.39,3.41,17600400.0
2025-05-12,3.53,3.6,3.43,3.47,23754300.0
2025-05-13,3.54,3.6,3.49,3.53,34628602.0
2025-05-14,3.54,3.54,3.42,3.51,21594815.0
2025-05-15,3.48,3.5,3.44,3.45,14425523.0
2025-05-16,3.42,3.47,3.42,3.44,12544500.0
2025-05-19,3.45,3.51,3.4,3.5,13543400.0
2025-05-20,3.5,3.85,3.48,3.83,73454195.0
2025-05-21,3.7,3.73,3.62,3.64,70991885.0
2025-05-22,3.63,3.69,3.57,3.59,31288700.0
2025-05-23,3.58,3.59,3.47,3.47,23158308.0
2025-05-26,3.5,3.62,3.45,3.6,26253000.0
2025-05-27,3.59,3.88,3.57,3.77,62415400.0
2025-05-28,3.76,3.78,3.6,3.66,40080900.0
2025-05-29,3.65,3.68,3.59,3.64,25557800.0
2025-05-30,3.64,3.65,3.56,3.59,17481000.0
2025-06-03,3.65,3.72,3.6,3.68,27020215.0
2025-06-04,3.68,3.75,3.64,3.73,27794308.0
2025-06-05,3.72,3.79,3.65,3.67,27966800.0
2025-06-06,3.65,3.68,3.6,3.64,15246900.0
2025-06-09,3.61,3.75,3.61,3.74,25505802.0
2025-06-10,3.74,3.85,3.64,3.77,34802700.0
2025-06-11,3.8,4.1,3.8,3.91,52910002.0
2025-06-12,3.92,4.3,3.92,4.3,151595517.0
2025-06-13,4.15,4.17,3.87,3.87,156346177.0
2025-06-16,4.09,4.26,4.01,4.26,164200834.0
2025-06-17,4.27,4.69,4.15,4.51,256858022.0
2025-06-18,4.24,4.37,4.11,4.18,158941467.0
2025-06-19,4.11,4.35,3.95,4.24,127704000.0
2025-06-20,4.11,4.19,3.87,3.91,90818429.0
2025-06-23,3.83,3.96,3.66,3.96,72341127.0
2025-06-24,3.99,4.03,3.88,3.98,66665527.0
2025-06-25,3.98,4.01,3.88,3.94,56971921.0
2025-06-26,3.94,4.02,3.86,3.86,52778300.0
2025-06-27,3.91,4.02,3.86,3.97,56884286.0
2025-06-30,3.99,4.2,3.94,4.1,69866402.0
2025-07-01,4.1,4.13,4.0,4.12,63421100.0
2025-07-02,4.09,4.09,4.01,4.04,36233700.0
2025-07-03,4.02,4.05,3.94,3.96,33492900.0
2025-07-04,3.95,3.97,3.87,3.88,32406800.0
2025-07-07,3.89,3.98,3.83,3.87,25196900.0
2025-07-08,3.87,3.87,3.82,3.86,27016923.0
2025-07-09,3.86,3.89,3.82,3.82,23481908.0
2025-07-10,3.8,3.86,3.79,3.82,18582523.0
2025-07-11,3.83,3.83,3.74,3.82,23204200.0
2025-07-14,3.8,3.85,3.78,3.85,18189800.0
2025-07-15,3.83,3.84,3.75,3.77,21412595.0
2025-07-16,3.78,3.87,3.77,3.85,21089700.0
2025-07-17,3.84,3.98,3.81,3.91,35266908.0
2025-07-18,3.92,3.98,3.82,3.84,23777700.0
2025-07-21,3.82,3.9,3.81,3.87,19113900.0
2025-07-22,3.87,3.94,3.85,3.89,22319600.0
2025-07-23,3.88,3.89,3.82,3.83,17978800.0
2025-07-24,3.83,3.85,3.82,3.84,14409035.0
2025-07-25,3.84,3.88,3.82,3.87,17516529.0
2025-07-28,3.89,4.02,3.85,4.0,49531002.0
2025-07-29,4.12,4.19,3.91,3.96,51475967.0
2025-07-30,3.93,3.93,3.86,3.89,26044120.0
2025-07-31,3.88,3.89,3.8,3.8,19806902.0
2025-08-01,3.79,3.81,3.74,3.76,15929803.0
2025-08-04,3.76,3.78,3.68,3.76,12693400.0
2025-08-05,3.76,3.83,3.76,3.83,13939402.0
2025-08-06,3.86,3.9,3.84,3.88,24977265.0
2025-08-07,3.87,3.94,3.83,3.92,21218300.0
2025-08-08,3.91,3.94,3.85,3.93,22451600.0
2025-08-11,3.93,3.93,3.87,3.87,18392400.0
2025-08-12,3.87,3.87,3.8,3.81,20452767.0
2025-08-13,3.8,3.83,3.79,3.8,18499500.0
2025-08-14,3.81,3.81,3.72,3.72,20364900.0
2025-08-15,3.72,3.75,3.71,3.74,13824900.0
2025-08-18,3.76,3.78,3.72,3.75,18890400.0
2025-08-19,3.77,3.77,3.72,3.74,17149102.0
2025-08-20,3.75,3.79,3.72,3.79,22417767.0
2025-08-21,3.79,3.81,3.74,3.75,21337100.0
2025-08-22,3.77,3.85,3.75,3.79,24604683.0
2025-08-25,3.8,3.81,3.73,3.78,20862104.0
2025-08-26,3.77,3.79,3.73,3.77,18296316.0
2025-08-27,3.76,3.79,3.73,3.74,27920170.0
2025-08-28,3.74,3.75,3.61,3.63,27596700.0
2025-08-29,3.63,3.77,3.63,3.73,20302000.0
2025-09-01,3.7,3.83,3.68,3.75,25866950.0
2025-09-02,3.76,3.89,3.7,3.83,42888939.0
2025-09-03,3.82,3.88,3.73,3.77,35330901.0
2025-09-04,3.76,3.85,3.73,3.81,31775500.0
2025-09-05,3.81,3.96,3.78,3.93,57466000.0
2025-09-08,3.94,3.99,3.86,3.98,54159900.0
2025-09-09,3.95,4.0,3.9,3.93,32020200.0
2025-09-10,3.93,3.97,3.89,3.94,28157206.0
2025-09-11,3.93,3.93,3.84,3.89,27869900.0
2025-09-12,3.89,4.06,3.85,3.93,58217000.0
2025-09-15,4.05,4.06,3.91,3.99,37867844.0
2025-09-16,4.03,4.16,3.97,4.11,47892807.0
2025-09-17,4.08,4.12,4.0,4.01,33769402.0
2025-09-18,4.0,4.06,3.93,3.94,42501806.0
2025-09-19,3.97,3.97,3.83,3.86,27332342.0
2025-09-22,3.86,3.87,3.71,3.76,24810720.0
2025-09-23,3.76,3.77,3.62,3.68,24495802.0
2025-09-24,3.67,3.75,3.63,3.71,16128000.0
2025-09-25,3.71,4.04,3.67,3.94,61330568.0
